NOME,FASE_2022,NIVEL_IDEAL_2022
ALUNO-572,,
ALUNO-573,0,Fase 2 (5º e 6º ano)
ALUNO-574,7,Fase 8 (Universitários)
ALUNO-575,0,Fase 1 (4º ano)
ALUNO-576,0,ALFA  (2º e 3º ano)
ALUNO-577,,
ALUNO-578,0,Fase 1 (4º ano)
ALUNO-579,2,Fase 3 (7º e 8º ano)
ALUNO-580,1,Fase 2 (5º e 6º ano)
ALUNO-581,,
ALUNO-582,1,Fase 2 (5º e 6º ano)
ALUNO-583,5,Fase 6 (2º EM)
ALUNO-584,,
ALUNO-585,2,Fase 6 (2º EM)
ALUNO-586,2,Fase 3 (7º e 8º ano)
ALUNO-587,0,Fase 1 (4º ano)
ALUNO-588,1,Fase 2 (5º e 6º ano)
ALUNO-589,,
ALUNO-590,0,ALFA  (2º e 3º ano)
ALUNO-591,1,Fase 1 (4º ano)
ALUNO-592,3,Fase 7 (3º EM)
ALUNO-593,5,Fase 7 (3º EM)
ALUNO-594,1,Fase 3 (7º e 8º ano)
ALUNO-595,1,ALFA  (2º e 3º ano)
ALUNO-596,,
ALUNO-597,,
ALUNO-598,,
ALUNO-599,,
ALUNO-600,0,Fase 2 (5º e 6º ano)
ALUNO-601,,
ALUNO-602,1,Fase 3 (7º e 8º ano)
ALUNO-603,2,Fase 4 (9º ano)
ALUNO-604,,
ALUNO-605,,
ALUNO-606,,
ALUNO-607,4,Fase 5 (1º EM)
ALUNO-608,5,Fase 6 (2º EM)
ALUNO-609,,
ALUNO-610,5,Fase 7 (3º EM)
ALUNO-611,,
ALUNO-612,1,Fase 4 (9º ano)
ALUNO-613,2,Fase 2 (5º e 6º ano)
ALUNO-614,,
ALUNO-615,1,Fase 2 (5º e 6º ano)
ALUNO-616,,
ALUNO-617,1,Fase 1 (4º ano)
ALUNO-618,,
ALUNO-619,,
ALUNO-620,,
ALUNO-621,0,Fase 2 (5º e 6º ano)
ALUNO-622,3,Fase 4 (9º ano)
ALUNO-623,3,Fase 3 (7º e 8º ano)
ALUNO-624,4,Fase 7 (3º EM)
ALUNO-625,,
ALUNO-626,,
ALUNO-627,,
ALUNO-628,0,Fase 2 (5º e 6º ano)
ALUNO-629,,
ALUNO-630,,
ALUNO-631,,
ALUNO-632,1,Fase 2 (5º e 6º ano)
ALUNO-633,1,Fase 2 (5º e 6º ano)
ALUNO-634,2,Fase 4 (9º ano)
ALUNO-635,,
ALUNO-636,,
ALUNO-637,2,Fase 3 (7º e 8º ano)
ALUNO-638,3,Fase 5 (1º EM)
ALUNO-639,,
ALUNO-640,,
ALUNO-641,2,Fase 3 (7º e 8º ano)
ALUNO-642,1,Fase 2 (5º e 6º ano)
ALUNO-643,0,Fase 1 (4º ano)
ALUNO-644,3,Fase 3 (7º e 8º ano)
ALUNO-645,1,Fase 2 (5º e 6º ano)
ALUNO-646,,
ALUNO-647,2,Fase 3 (7º e 8º ano)
ALUNO-648,,
ALUNO-649,3,Fase 4 (9º ano)
ALUNO-650,0,Fase 2 (5º e 6º ano)
ALUNO-651,1,Fase 3 (7º e 8º ano)
ALUNO-652,2,Fase 3 (7º e 8º ano)
ALUNO-653,,
ALUNO-654,2,Fase 3 (7º e 8º ano)
ALUNO-655,,
ALUNO-656,0,Fase 1 (4º ano)
ALUNO-657,3,Fase 3 (7º e 8º ano)
ALUNO-658,0,Fase 2 (5º e 6º ano)
ALUNO-659,,
ALUNO-660,,
ALUNO-661,,
ALUNO-662,1,Fase 2 (5º e 6º ano)
ALUNO-663,2,Fase 3 (7º e 8º ano)
ALUNO-664,6,Fase 7 (3º EM)
ALUNO-665,0,Fase 1 (4º ano)
ALUNO-666,,
ALUNO-667,3,Fase 4 (9º ano)
ALUNO-668,2,Fase 3 (7º e 8º ano)
ALUNO-669,1,Fase 3 (7º e 8º ano)
ALUNO-670,,
ALUNO-671,,
ALUNO-672,,
ALUNO-673,3,Fase 3 (7º e 8º ano)
ALUNO-674,3,Fase 4 (9º ano)
ALUNO-675,,
ALUNO-676,,
ALUNO-677,,
ALUNO-678,,
ALUNO-679,0,Fase 3 (7º e 8º ano)
ALUNO-680,,
ALUNO-681,3,Fase 5 (1º EM)
ALUNO-682,,
ALUNO-683,,
ALUNO-684,,
ALUNO-685,,
ALUNO-686,1,Fase 3 (7º e 8º ano)
ALUNO-687,3,Fase 6 (2º EM)
ALUNO-688,,
ALUNO-689,3,Fase 3 (7º e 8º ano)
ALUNO-690,0,Fase 2 (5º e 6º ano)
ALUNO-691,,
ALUNO-692,2,Fase 3 (7º e 8º ano)
ALUNO-693,1,Fase 2 (5º e 6º ano)
ALUNO-694,0,Fase 1 (4º ano)
ALUNO-695,1,Fase 2 (5º e 6º ano)
ALUNO-696,,
ALUNO-697,3,Fase 6 (2º EM)
ALUNO-698,,
ALUNO-699,,
ALUNO-700,2,Fase 3 (7º e 8º ano)
ALUNO-701,3,Fase 6 (2º EM)
ALUNO-702,,
ALUNO-703,4,Fase 5 (1º EM)
ALUNO-704,,
ALUNO-705,3,Fase 3 (7º e 8º ano)
